(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c), (c) . (b) . (a), (c) . (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c̄) . (b) . (a), (c̄) . (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄), (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄), (c̄) . (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄), (c) . (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c) . (b̄) . (a), (c) . (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c), (c) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c), (c) . (b̄) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c̄), (b+c) . (b̄+c̄) . (a), (b+c) . (b̄+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (b+c) . (a), (b+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (b+c) . (b̄+c̄) . (a), (b+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c̄), (c) . (b̄) . (a), (c) . (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (c) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (c) . (b̄) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c), (c) . (b) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c̄), (c̄) . (b) . (a), (c̄) . (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (c̄) . (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), (c) . (b) . (a), (b) . (a)<br/> IKNF<sub>2</sub>, (c) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (c̄) . (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), (b+c̄) . (b̄+c) . (a), (b+c̄) . (b̄+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), (c̄) . (b̄) . (a), (c̄) . (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (b+c̄) . (a), (b+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (b+c̄) . (b̄+c) . (a), (b+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c̄) . (b̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b̄+c) . (a), (b̄+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (b̄+c̄) . (a), (b̄+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄+c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄+c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (b+c̄) . (b̄+c) . (a), (b̄+c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (c̄) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c̄) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c̄) . (b̄) . (a), (b̄) . (a)<br/> IKNF<sub>2</sub>, (c̄) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c̄) . (b̄+c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c̄) . (b̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), (c) . (b) . (a), (c) . (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c̄) . (b) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c̄) . (b) . (a), (b) . (a)<br/> IKNF<sub>2</sub>, (c̄) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), (c) . (b) . (a), (b) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (c) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (c) . (b̄) . (a), (b̄) . (a)<br/> IKNF<sub>2</sub>, (c) . (a)
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (b+c) . (b̄+c̄) . (a), (b̄+c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b+c) . (b̄+c̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c) . (b̄) . (a), (b̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c) . (b̄) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), (c) . (b) . (a), (c) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), (c̄) . (b) . (a), (c̄) . (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (b) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c̄) . (b) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄)  . (ā + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), (c) . (b) . (a), (a), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (a + b̄ + c̄), 0, empty, empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c) . (b) . (ā), (c) . (b) . (ā), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c), (c) . (b), (c) . (b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c), (c) . (b) . (ā), (c) . (b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c̄), (b) . (a+c) . (ā+c̄), (b) . (a+c) . (ā+c̄), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄), (b) . (a+c), (b) . (a+c), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄), (b) . (a+c) . (ā+c̄), (b) . (a+c), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄)  . (ā + b̄ + c̄), (c) . (b) . (ā), (c) . (b) . (ā), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄), (c) . (b), (c) . (b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b + c̄), (c) . (b) . (ā), (c) . (b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c) . (a+b) . (ā+b̄), (c) . (a+b) . (ā+b̄), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c), (c) . (a+b), (c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c), (c) . (a+b) . (ā+b̄), (c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c̄), (b+c) . (a+c) . (a+b) . (ā+b̄+c̄), (b+c) . (a+c) . (a+b) . (ā+b̄+c̄), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c), (b+c) . (a+c) . (a+b), (b+c) . (a+c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c), (b+c) . (a+c) . (a+b), (b+c) . (a+c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c̄), (c) . (a+b) . (ā+b̄), (c) . (a+b) . (ā+b̄), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c), (c) . (a+b), (c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c), (c) . (a+b), (c) . (a+b), empty
(a + b + c)  . (a + b + c̄)  . (a + b̄ + c)  . (ā + b + c)  . (ā + b̄ + c)  . (ā + b̄ + c̄), (c) . (b) . (ā), (c) . (b) . (ā), empty
